use_gradient_assist,gradient_weight,gradient_mode,use_nms,use_morphological_closing,use_thinning,min_object_size,use_endpoint_linking,adaptive_use_hysteresis,adaptive_low_ratio,use_texture_suppression,texture_window_size,texture_weight,texture_suppression_mode,texture_strength,texture_gamma,use_tv_denoise,tv_weight,min_skeleton_length,min_component_mean_response,transform_mode,wavelet,level,threshold_method,percentile,low_threshold_ratio,response_mode,level_weights,image_name,precision,recall,f1_score,edge_density,gt_density,density_ratio,balanced_score,tolerance_radius
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,False,0.08,0,0.0,dwt,haar,1,percentile,92.0,0.5,weighted,,106025.jpg,0.24803017602682315,0.45446168023345107,0.32091535166205737,0.07726633894858194,0.056728907196196915,1.362027388630676,0.32091535166205737,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,False,0.08,0,0.0,dwt,haar,1,percentile,92.0,0.5,weighted,,253036.jpg,0.1356853086062011,0.6476486860304288,0.22436511739338763,0.08940356603908006,0.02950110426745941,3.0305148893204623,0.14478788399531828,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,False,0.08,0,0.0,dwt,haar,1,percentile,92.0,0.5,weighted,,299091.jpg,0.11807569336010112,0.39581256231306083,0.18189107153084014,0.08710435813239552,0.03295963109047221,2.6427580899106076,0.160477358044249,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,True,0.05,0,0.0,dwt,haar,1,percentile,92.0,0.5,weighted,,106025.jpg,0.39002893975269665,0.443530291697831,0.41506264436200746,0.04923543241300251,0.056728907196196915,0.8679071423613076,0.41506264436200746,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,True,0.05,0,0.0,dwt,haar,1,percentile,92.0,0.5,weighted,,253036.jpg,0.1846764051465609,0.6544394926294138,0.28806398068507616,0.06694904825745947,0.02950110426745941,2.269373544690352,0.28806398068507616,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,True,0.05,0,0.0,dwt,haar,1,percentile,92.0,0.5,weighted,,299091.jpg,0.13336075689016866,0.3991627677911844,0.19992599901332017,0.0787235833964806,0.03295963109047221,2.388484242907535,0.19992599901332017,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,False,0.08,0,5.0,dwt,haar,1,percentile,92.0,0.5,weighted,,106025.jpg,0.25858676207513415,0.44063404968754766,0.3259117298912124,0.07240885745558642,0.056728907196196915,1.2764011906865849,0.3259117298912124,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,False,0.08,0,5.0,dwt,haar,1,percentile,92.0,0.5,weighted,,253036.jpg,0.1732562476687803,0.6424619640387276,0.2729142185663925,0.06945550870784516,0.02950110426745941,2.3543350965714747,0.2729142185663925,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,False,0.08,0,5.0,dwt,haar,1,percentile,92.0,0.5,weighted,,299091.jpg,0.11807569336010112,0.39581256231306083,0.18189107153084014,0.08710435813239552,0.03295963109047221,2.6427580899106076,0.160477358044249,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,True,0.05,0,5.0,dwt,haar,1,percentile,92.0,0.5,weighted,,106025.jpg,0.46794338051623646,0.3226639873690254,0.38195565372525697,0.031113788123133916,0.056728907196196915,0.5484643398978849,0.38195565372525697,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,True,0.05,0,5.0,dwt,haar,1,percentile,92.0,0.5,weighted,,253036.jpg,0.3578313253012048,0.6138477437133999,0.452112140048205,0.0322536771134902,0.02950110426745941,1.0933036908733629,0.452112140048205,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,True,0.05,0,5.0,dwt,haar,1,percentile,92.0,0.5,weighted,,299091.jpg,0.13336075689016866,0.3991627677911844,0.19992599901332017,0.0787235833964806,0.03295963109047221,2.388484242907535,0.19992599901332017,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,False,0.08,0,10.0,dwt,haar,1,percentile,92.0,0.5,weighted,,106025.jpg,0.32013991163475697,0.24889079719479032,0.2800547548111764,0.03518111929326882,0.056728907196196915,0.6201620096430706,0.2800547548111764,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,False,0.08,0,10.0,dwt,haar,1,percentile,92.0,0.5,weighted,,253036.jpg,0.4597118463180363,0.5933195592286501,0.5180396873120867,0.024274454180996236,0.02950110426745941,0.8228317737737678,0.5180396873120867,1
