use_gradient_assist,gradient_weight,gradient_mode,use_nms,use_morphological_closing,use_thinning,min_object_size,use_endpoint_linking,adaptive_use_hysteresis,adaptive_low_ratio,use_texture_suppression,texture_window_size,texture_weight,texture_suppression_mode,texture_strength,texture_gamma,use_tv_denoise,tv_weight,min_skeleton_length,min_component_mean_response,transform_mode,wavelet,level,threshold_method,percentile,low_threshold_ratio,response_mode,level_weights,precision,recall,f1_score,edge_density,gt_density,density_ratio,balanced_score,tolerance_radius
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,True,0.05,0,15.0,dwt,haar,1,percentile,92.0,0.5,weighted,,0.5322758658741007,0.34254616991262593,0.3784519992950115,0.024898370692763214,0.03972988085137618,0.6266911425934807,0.3784519992950115,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,True,0.05,0,10.0,dwt,haar,1,percentile,92.0,0.5,weighted,,0.47136221206704015,0.3734512666599083,0.37092797031679403,0.03397646388300594,0.03972988085137618,0.8551864390996444,0.37092797031679403,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,False,0.08,0,15.0,dwt,haar,1,percentile,92.0,0.5,weighted,,0.4141872121260415,0.38510920820708733,0.3642699030115985,0.039179366282170024,0.03972988085137618,0.986143315337422,0.3642699030115985,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,True,0.05,0,5.0,dwt,haar,1,percentile,92.0,0.5,weighted,,0.31971182090253664,0.4452248329578699,0.34466459759559404,0.04736368287770157,0.03972988085137618,1.1921422853861419,0.34466459759559404,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,True,0.05,3,5.0,dwt,haar,1,percentile,92.0,0.5,weighted,,0.3264717252415417,0.39878850569609786,0.3333980195095718,0.04326180961694981,0.03972988085137618,1.0888982750742011,0.3333980195095718,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,False,0.08,0,10.0,dwt,haar,1,percentile,92.0,0.5,weighted,,0.29930915043763145,0.41267430624550044,0.3266618378847011,0.04885331053555353,0.03972988085137618,1.229636162815215,0.3266618378847011,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,True,0.05,0,0.0,dwt,haar,1,percentile,92.0,0.5,weighted,,0.23602203392980872,0.4990441840394764,0.3010175413534679,0.06496935468898087,0.03972988085137618,1.635276445435551,0.3010175413534679,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,True,0.05,3,0.0,dwt,haar,1,percentile,92.0,0.5,weighted,,0.2380894056896606,0.4499439966710552,0.29277435343292596,0.06042275201153705,0.03972988085137618,1.5208386108476837,0.29277435343292596,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,False,0.08,0,5.0,dwt,haar,1,percentile,92.0,0.5,weighted,,0.1833062343680052,0.4929695253464454,0.260239006662815,0.07632290809860903,0.03972988085137618,1.9210449981884439,0.260239006662815,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,False,0.08,3,5.0,dwt,haar,1,percentile,92.0,0.5,weighted,,0.1901723357832442,0.4482242203662004,0.26000349611309564,0.06926552720945245,0.03972988085137618,1.7434109614991102,0.26000349611309564,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,False,0.08,0,0.0,dwt,haar,1,percentile,92.0,0.5,weighted,,0.16726372599770845,0.4993076428589802,0.2423905135287617,0.08459142104001917,0.03972988085137618,2.1291631873961983,0.2423905135287617,1
True,0.15,multiply,True,False,True,0,False,True,0.7,False,15,0.0,linear,3.0,2.0,False,0.08,3,0.0,dwt,haar,1,percentile,92.0,0.5,weighted,,0.17299306897722358,0.45398146704056247,0.2421291153405909,0.07702454431426393,0.03972988085137618,1.9387051578470653,0.2421291153405909,1
