use_gradient_assist,gradient_weight,gradient_mode,use_nms,use_morphological_closing,use_thinning,min_object_size,use_endpoint_linking,adaptive_use_hysteresis,adaptive_low_ratio,use_texture_suppression,texture_window_size,texture_weight,texture_suppression_mode,texture_strength,texture_gamma,use_tv_denoise,tv_weight,min_skeleton_length,min_component_mean_response,transform_mode,wavelet,level,threshold_method,percentile,low_threshold_ratio,response_mode,level_weights,precision,recall,f1_score,edge_density,gt_density,density_ratio,balanced_score,tolerance_radius
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,True,0.05,10,30.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,0.6468886873227845,0.14727664430133977,0.23298440613989035,0.007728792775521747,0.03972988085137618,0.19453345100881478,0.23298440613989035,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,True,0.05,10,40.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,0.6862865989035359,0.14130472610237096,0.2282688962402958,0.00725168014887641,0.03972988085137618,0.1825245424409522,0.2282688962402958,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,True,0.05,10,20.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,0.5620984496922138,0.1498329129401733,0.22720941682427273,0.008685176909475975,0.03972988085137618,0.21860560709733573,0.22720941682427273,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,False,0.08,10,40.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,0.6111874021904625,0.1390646885592297,0.22292805376503935,0.007139418354371625,0.03972988085137618,0.17969891689557274,0.22292805376503935,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,False,0.08,10,30.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,0.5238339534870398,0.14624892126961866,0.22247417775935874,0.008469288843120619,0.03972988085137618,0.2131717118177599,0.22247417775935874,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,False,0.08,10,20.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,0.4695248813833402,0.15244326712735753,0.2205324645664455,0.009885514558411754,0.03972988085137618,0.24881806485177735,0.2205324645664455,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,True,0.05,20,30.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,0.7192574295302551,0.07209348333265055,0.1294570224483999,0.0034175080904052866,0.03972988085137618,0.08601856227568543,0.1294570224483999,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,True,0.05,20,20.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,0.6415547136920178,0.07371340562045313,0.1290196284905837,0.003961546017620784,0.03972988085137618,0.09971197838021652,0.1290196284905837,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,False,0.08,20,30.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,0.7746943765368131,0.06877981179391114,0.12456114258899827,0.0029511898670777172,0.03972988085137618,0.07428134847180162,0.12456114258899827,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,False,0.08,20,20.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,0.7020178306051452,0.06985314697667694,0.12439389244966968,0.0033894426417790907,0.03972988085137618,0.08531215588934057,0.12439389244966968,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,True,0.05,20,40.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,0.7746963184028836,0.06759115176809032,0.12360584986322189,0.003061292780918949,0.03972988085137618,0.0770526350643853,0.12360584986322189,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,False,0.08,20,40.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,0.8443478040164227,0.06374731967339448,0.11749226044686063,0.0025107782117127914,0.03972988085137618,0.06319620210146694,0.11749226044686063,1
