use_gradient_assist,gradient_weight,gradient_mode,use_nms,use_morphological_closing,use_thinning,min_object_size,use_endpoint_linking,adaptive_use_hysteresis,adaptive_low_ratio,use_texture_suppression,texture_window_size,texture_weight,texture_suppression_mode,texture_strength,texture_gamma,use_tv_denoise,tv_weight,min_skeleton_length,min_component_mean_response,transform_mode,wavelet,level,threshold_method,percentile,low_threshold_ratio,response_mode,level_weights,image_name,precision,recall,f1_score,edge_density,gt_density,density_ratio,balanced_score,tolerance_radius
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,False,0.08,10,20.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,106025.jpg,0.5782312925170068,0.10949375241530336,0.18412217047546844,0.009520663726271203,0.056728907196196915,0.1678273479704186,0.18412217047546844,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,False,0.08,10,20.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,253036.jpg,0.5030706243602866,0.2693150684931507,0.35082084225553173,0.012655358449750973,0.02950110426745941,0.4289789983868576,0.35082084225553173,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,False,0.08,10,20.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,299091.jpg,0.32727272727272727,0.0785209804736186,0.1266543809683364,0.007480521499213088,0.03295963109047221,0.22696004118125895,0.1266543809683364,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,True,0.05,10,20.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,106025.jpg,0.7562189054726368,0.09598383430159131,0.1703462960887594,0.006509025200613985,0.056728907196196915,0.11473910524508209,0.1703462960887594,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,True,0.05,10,20.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,253036.jpg,0.6601218686526743,0.2667578659370725,0.3799688230709275,0.009566000220205827,0.02950110426745941,0.32425894606826444,0.3799688230709275,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,True,0.05,10,20.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,299091.jpg,0.2699545749513303,0.0867570385818561,0.13131313131313133,0.009980505307608111,0.03295963109047221,0.30280989044183554,0.13131313131313133,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,False,0.08,10,30.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,106025.jpg,0.5985915492957746,0.09666413949962092,0.1664490861618799,0.008277148464064353,0.056728907196196915,0.14590704129673127,0.1664490861618799,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,False,0.08,10,30.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,253036.jpg,0.6456375838926175,0.2635616438356164,0.3743190661478599,0.009650196566084417,0.02950110426745941,0.32711295168701016,0.3743190661478599,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,False,0.08,10,30.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,299091.jpg,0.32727272727272727,0.0785209804736186,0.1266543809683364,0.007480521499213088,0.03295963109047221,0.22696004118125895,0.1266543809683364,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,True,0.05,10,30.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,106025.jpg,0.8322295805739515,0.09522606718868401,0.17089755213055305,0.005867837643538578,0.056728907196196915,0.10343644711646208,0.17089755213055305,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,True,0.05,10,30.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,253036.jpg,0.8384819064430715,0.25984682713347923,0.39674253497598666,0.007338035375418553,0.02950110426745941,0.2487375666183775,0.39674253497598666,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,True,0.05,10,30.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,299091.jpg,0.2699545749513303,0.0867570385818561,0.13131313131313133,0.009980505307608111,0.03295963109047221,0.30280989044183554,0.13131313131313133,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,False,0.08,10,40.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,106025.jpg,0.6651075771749299,0.08922073033002886,0.15733569373755257,0.0069235302880162695,0.056728907196196915,0.12204587413631121,0.15733569373755257,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,False,0.08,10,40.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,253036.jpg,0.8411819021237303,0.24945235487404163,0.3847940865892291,0.0070142032758855185,0.02950110426745941,0.23776062193089395,0.3847940865892291,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,False,0.08,10,40.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,299091.jpg,0.32727272727272727,0.0785209804736186,0.1266543809683364,0.007480521499213088,0.03295963109047221,0.22696004118125895,0.1266543809683364,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,True,0.05,10,40.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,106025.jpg,0.8729216152019003,0.09262759924385633,0.16748319471345563,0.005453332556136294,0.056728907196196915,0.09612967822523295,0.16748319471345563,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,True,0.05,10,40.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,253036.jpg,0.9159836065573771,0.24452954048140044,0.38601036269430056,0.006321202582884826,0.02950110426745941,0.21426996029967915,0.38601036269430056,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,True,0.05,10,40.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,299091.jpg,0.2699545749513303,0.0867570385818561,0.13131313131313133,0.009980505307608111,0.03295963109047221,0.30280989044183554,0.13131313131313133,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,False,0.08,20,20.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,106025.jpg,0.7737104825291181,0.056493743166079455,0.10529891304347826,0.00389246183638707,0.056728907196196915,0.06861512661919834,0.10529891304347826,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,False,0.08,20,20.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,253036.jpg,0.6963276836158192,0.11913968100531658,0.20346677672307056,0.004585462529387763,0.02950110426745941,0.15543353677476723,0.20346677672307056,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,False,0.08,20,20.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,299091.jpg,0.6360153256704981,0.03392601675863478,0.06441598758246021,0.001690403559562438,0.03295963109047221,0.05128707424095982,0.06441598758246021,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,True,0.05,20,20.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,106025.jpg,0.8919925512104283,0.05827250608272506,0.10939819572913098,0.0034779567489847864,0.056728907196196915,0.06130835772796924,0.10939819572913098,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,True,0.05,20,20.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,253036.jpg,0.6071856287425149,0.12231604342581423,0.20361445783132529,0.00540799606220167,0.02950110426745941,0.1833149762809755,0.20361445783132529,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,True,0.05,20,20.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,299091.jpg,0.42548596112311016,0.04055166735282009,0.07404623191129488,0.002998685241675896,0.03295963109047221,0.09098051867266052,0.07404623191129488,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,False,0.08,20,30.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,106025.jpg,0.833648393194707,0.05327373761778207,0.10014760985579652,0.0034261436130595007,0.056728907196196915,0.060395011616565596,0.10014760985579652,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,False,0.08,20,30.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,253036.jpg,0.854419410745234,0.11913968100531658,0.20911983032873807,0.003737022428611214,0.02950110426745941,0.1266739416935603,0.20911983032873807,1
True,0.15,multiply,True,False,True,0,False,True,0.7,True,15,0.0,exp,2.0,2.0,False,0.08,20,30.0,dwt,haar,1,percentile,98.0,0.5,multiscale_consistency,,299091.jpg,0.6360153256704981,0.03392601675863478,0.06441598758246021,0.001690403559562438,0.03295963109047221,0.05128707424095982,0.06441598758246021,1
