transform_mode,wavelet,level,threshold_method,low_threshold_ratio,use_gradient_assist,gradient_weight,gradient_mode,use_nms,use_morphological_closing,use_thinning,min_object_size,level_weights,precision,recall,f1_score,tolerance_radius,percentile
dwt,haar,1,otsu,0.3,True,0.15,multiply,True,False,False,0,,0.659534861047315,0.3017944032513454,0.3192848902386651,1,
dwt,haar,1,otsu,0.4,True,0.15,multiply,True,False,False,0,,0.6631244426237136,0.30013265664336014,0.31912562271767314,1,
dwt,haar,1,otsu,0.5,True,0.15,multiply,True,False,False,0,,0.6664706054118962,0.2979725540902273,0.31848733196437484,1,
dwt,haar,1,otsu,0.6,True,0.15,multiply,True,False,False,0,,0.6703287616154968,0.29409134002241194,0.31636534141389233,1,
dwt,haar,1,otsu,0.3,True,0.15,multiply,True,False,True,0,,0.6631531876500928,0.2894204547993247,0.3139466620859135,1,
dwt,haar,1,otsu,0.4,True,0.15,multiply,True,False,True,0,,0.666421117277492,0.287586329543407,0.31340892217368843,1,
dwt,haar,1,otsu,0.5,True,0.15,multiply,True,False,True,0,,0.6690408293587128,0.2861349587375467,0.3132184542763183,1,
dwt,haar,1,otsu,0.6,True,0.15,multiply,True,False,True,0,,0.6730982132457428,0.28264319329715354,0.31126562093279525,1,
dwt,haar,1,otsu,0.3,True,0.15,multiply,True,False,False,5,,0.6657522607776191,0.24361120463304745,0.28724048270601926,1,
dwt,haar,1,otsu,0.4,True,0.15,multiply,True,False,False,5,,0.6694442634104417,0.24137909499384205,0.2862714909973407,1,
dwt,haar,1,otsu,0.5,True,0.15,multiply,True,False,False,5,,0.6733426698709414,0.23718145591802176,0.2837107113311695,1,
dwt,haar,1,otsu,0.3,True,0.15,multiply,True,False,True,5,,0.6700826066203907,0.23305853195485468,0.28191959450741355,1,
dwt,haar,1,otsu,0.4,True,0.15,multiply,True,False,True,5,,0.6734507826692749,0.2307443827098253,0.2806359037521881,1,
dwt,haar,1,otsu,0.5,True,0.15,multiply,True,False,True,5,,0.6768148852548029,0.2274375683135429,0.2787609900467711,1,
dwt,haar,1,otsu,0.6,True,0.15,multiply,True,False,False,5,,0.6790549377629356,0.23048224078677312,0.27850957580792296,1,
dwt,haar,1,otsu,0.6,True,0.15,multiply,True,False,True,5,,0.6819962802763625,0.22083985556588406,0.27335570049486724,1,
dwt,haar,1,percentile,0.5,True,0.15,multiply,True,False,False,5,,0.16071138406456684,0.474619549313357,0.2376347323356228,1,90.0
dwt,haar,1,percentile,0.6,True,0.15,multiply,True,False,True,5,,0.16509583954106397,0.43416349791205655,0.23654028305123478,1,90.0
dwt,haar,1,percentile,0.5,True,0.15,multiply,True,False,True,5,,0.16442034796386706,0.4361018421268806,0.23607954527961436,1,90.0
dwt,haar,1,percentile,0.5,True,0.15,multiply,True,False,False,0,,0.14962029362137594,0.5893930980196004,0.2360048428641874,1,90.0
dwt,haar,1,percentile,0.6,True,0.15,multiply,True,False,True,0,,0.1520199023166073,0.5478275082190767,0.23521184099672465,1,90.0
dwt,haar,1,percentile,0.5,True,0.15,multiply,True,False,True,0,,0.15160794705109837,0.5490335821833711,0.23477693301000402,1,90.0
dwt,haar,1,percentile,0.4,True,0.15,multiply,True,False,False,0,,0.14623615684070818,0.5913358478355738,0.23131411823791037,1,90.0
dwt,haar,1,percentile,0.4,True,0.15,multiply,True,False,False,5,,0.15556946054574491,0.4775269609852515,0.23130840949114187,1,90.0
dwt,haar,1,percentile,0.5,True,0.15,multiply,True,False,False,10,,0.18135272694887541,0.3238508219217436,0.23101732955771181,1,90.0
dwt,haar,1,percentile,0.4,True,0.15,multiply,True,False,True,0,,0.14863288549033069,0.5506788359406577,0.23080167550116817,1,90.0
dwt,haar,1,percentile,0.4,True,0.15,multiply,True,False,True,5,,0.15960491264583185,0.4388191075636236,0.2304988626618474,1,90.0
dwt,haar,1,percentile,0.3,True,0.15,multiply,True,False,False,0,,0.1440939471509787,0.5918625374284757,0.22895504122621768,1,90.0
dwt,haar,1,percentile,0.3,True,0.15,multiply,True,False,True,0,,0.14676737852074936,0.5510675768915831,0.22885461193584963,1,90.0
dwt,haar,1,percentile,0.3,True,0.15,multiply,True,False,False,5,,0.1522775722416209,0.4785355212389247,0.22819276122118473,1,90.0
